brain_code	main	species	long_1	short_1	long_2	short_2	long_3	short_3
R87.12	bed nuclei stria terminalis, anterior division, anteromedial area	Rat	bed nuclei stria terminalis, anterior division, anteromedial area	BSTam	bed nucleus of the stria terminalis, medial division, anteromedial part	STMAM	anteromedial part of the BNST	BNSTam
R87.2	bed nuclei stria terminalis, posterior division	Rat	bed nuclei stria terminalis, posterior division	BSTp	bed nucleus of the stria terminalis, medial division, posterior part	STMP	Posterior nucleus of the bed nucleus of the stria terminalis	
R96	supraoptic nucleus, general	Rat	supraoptic nucleus, general	SOg	supraoptic nucleus	SO		
R106	prefrontal region_sw	Rat	prefrontal region_sw	PFR			Prefrontal cortex	
R114	thalamus_sw	Rat	thalamus_sw	TH				
R115	superior central nucleus raphé_sw	Rat	superior central nucleus raphé_sw	CS	paramedian raphe nucleus	PMnR	paramedian raphe nucleus	PMN
R115.1	superior central nucleus raphé, lateral part_sw	Rat	superior central nucleus raphé, lateral part_sw	CSl				
R115.2	superior central nucleus raphé, medial part	Rat	superior central nucleus raphé, medial part	CSm	median raphe nucleus	MnR	median raphe	
R116	dorsomedial hypothalamic nucleus	Rat	dorsomedial hypothalamic nucleus	DMH	dorsomedial hypothalamic nucleus	DM		
R122	amygdala	Rat	amygdala	AMY				
R124	anterior hypothalamic nucleus	Rat	anterior hypothalamic nucleus	AHN	anterior hypothalamic nucleus	LA		
R126	anteroventral preoptic nucleus	Rat	anteroventral preoptic nucleus	AVP			AVPO	
R140	infralimbic area	Rat	infralimbic area	ILA	infralimbic cortex	IL		
R147	lateral septal nucleus	Rat	lateral septal nucleus	LS	lateral septal nucleus	LS		
R147.2	lateral septal nucleus, ventral part	Rat	lateral septal nucleus, ventral part	LSv	lateral septal nucleus, ventral part	LSV	septohypothalamic nucleus	
R148	medial amygdalar nucleus	Rat	medial amygdalar nucleus	MEA	medial amygdaloid nucleus	Me	medial amygdala	
R148.1	medial amygdalar nucleus, posterodorsal part	Rat	medial amygdalar nucleus, posterodorsal part	MEApd	medial amygdaloid nucleus, posterodorsal part	MePD	posterodorsal medial amygdala nucleus	MEPD
R148.2	medial amygdalar nucleus, anterodorsal part	Rat	medial amygdalar nucleus, anterodorsal part	MEAad	medial amygdaloid nucleus, ant dorsal	MeAD	anterior-dorsal medial amygdala	MeAD
R150	medial preoptic area	Rat	medial preoptic area	MPO	medial preoptic area	MPA		
R158	prelimbic area	Rat	prelimbic area	PL	prelimbic cortex	PrL		
R168	arcuate hypothalamic nucleus	Rat	arcuate hypothalamic nucleus	ARH	arcuate hypothalamic nucleus	Arc	Arcuate nucleus	
R184	accessory olfactory bulb	Rat	accessory olfactory bulb	AOB	accessory olfactory bulb	AOB		
R184.1	accessory olfactory bulb, granule cell layer	Rat	accessory olfactory bulb, granule cell layer	AOBgr	granule cell layer of the accessory olfactory bulb	GrA		
R184.2	accessory olfactory bulb, mitral layer	Rat	accessory olfactory bulb, mitral layer	AOBmi	mitral cell layer of the accessory olfactory bulb	MiA		
R185	bed nucleus of the accessory olfactory tract	Rat	bed nucleus of the accessory olfactory tract	BA	bed nucleus of the accessory olfactory tract	BAOT		
R186	medial preoptic nucleus	Rat	medial preoptic nucleus	MPN	medial preoptic nucleus	MPO		
R189	central tegmental bundle	Rat	central tegmental bundle	ctb			Central tegmental field	CTF
R190	anterodorsal preoptic nucleus	Rat	anterodorsal preoptic nucleus	ADP			ADPO	
R191	septohypothalamic nucleus	Rat	septohypothalamic nucleus	SHy			Shy	
B1.1	spinal trigeminal nucleus, caudal part	Mouse	spinal trigeminal nucleus, caudal part	Sp5C	spinal trigeminal nucleus, caudal part	Sp5C	Sp5C	
B2	parabrachial nucleus	Mouse			parabrachial nucleus	PB	PBN	
B2.1	lateral parabrachial nucleus	Mouse	lateral parabrachial nucleus	LPB	lateral parabrachial nucleus	LPB		
