brain_code	main	species	"规范名全称(Paxinos & Franklin, 2013 )"	简称	"同义词全称（Mouse brain_Franklin & Paxinos,2007）"	简称	其他同义词	简称
B20.2	"paraventricular hypothalamic nucleus, posterior part"	Mouse	"paraventricular hypothalamic nucleus, posterior part"	PaPo	"paraventricular hypothalamic nucleus, posterior part"	PaPo		
B20.3	"paraventricular hypothalamic nucleus,ventral part"	Mouse	"paraventricular hypothalamic nucleus,ventral part"	PaV	paraventricular hypothalamic nucleus; ventral part	PaV		
B21	periaqueductal gray	Mouse	periaqueductal gray	PAG	periaqueductal gray	PAG		
B21.1	lateral periaqueductal gray	Mouse	lateral periaqueductal gray	LPAG	lateral periaqueductal gray	LPAG		
B21.11	dorsolateral periaqueductal gray	Mouse	dorsolateral periaqueductal gray	DLPAG	dorsolateral periaqueductal gray	DLPAG		
B21.12	ventrolateral periaqueductal gray	Mouse	ventrolateral periaqueductal gray	VLPAG	ventrolateral periaqueductal gray	VLPAG		
B22	field CA1 of the hippocampus	Mouse	field CA1 of the hippocampus	CA1	field CA1 of the hippocampus	CA1		
B23	amygdalohippocampal area	Mouse	amygdalohippocampal area	AHi	amygdalohippocampal area	AHi		
B24	arcuate hypothalamic nucleus	Mouse	arcuate hypothalamic nucleus	Arc	arcuate hypothalamic nucleus	Arc	arcuate nucleus of the hypothalamus	ARH
B24.1	"arcuate hypothalamic nucleus, dorsal part"	Mouse	"arcuate hypothalamic nucleus, dorsal part"	ArcD	"arcuate hypothalamic nucleus, dorsal part"	ArcD		
B24.2	"arcuate hypothalamic nucleus, lateroposterior part"	Mouse	"arcuate hypothalamic nucleus, lateroposterior part"	ArcLP	"arcuate hypothalamic nucleus, lateral part"	ArcL		
B25	periventricular hypothalamic nucleus	Mouse	periventricular hypothalamic nucleus	Pe	periventricular hypothalamic nucleus	Pe		
B26	"agranular insular cortex, posterior part"	Mouse	"agranular insular cortex, posterior part"	AIP	"agranular insular cortex, posterior part"	AIP		
B27	area postrema	Mouse	area postrema	AP	area postrema	AP		
B28	dorsal motor nucleus of vagus	Mouse			dorsal motor nucleus of vagus	10N		
B29	lateral reticular nucleus	Mouse	lateral reticular nucleus	LRt	lateral reticular nucleus	LRt		
B30	solitary nucleus	Mouse	solitary nucleus	Sol	nucleus of the solitary tract	Sol	NTS	
B30.1	"SolRL solitary nucleus, rostrolateral part"	Mouse	"SolRL solitary nucleus, rostrolateral part"	SolRL	"SolRL solitary nucleus, rostrolateral part"			
B31	parasubthalamic nucleus	Mouse	parasubthalamic nucleus	PSTh	parasubthalamic nucleus	PSTh		
B32	supratrigeminal nucleus	Mouse	supratrigeminal nucleus	Su5	supratrigeminal nucleus	Su5		
B33	accessory olfactory bulb	Mouse	accessory olfactory bulb	AOB	accessory olfactory bulb	AOB		
B34	anterior hypothalamic area	Mouse	anterior hypothalamic area	AH	anterior hypothalamic area	AH		
